target,tweet
4,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!
4,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. "
4,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup"
4,@LovesBrooklyn2 he has that effect on everyone 
4,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!
4,@r_keith_hill Thans for your response. Ihad already find this answer 
4,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! "
4,"@tommcfly ah, congrats mr fletcher for finally joining twitter "
4,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 
4,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
4,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 
4,"@nileyjileyluver Haha, don't worry! You'll get the hang of it! "
4,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting "
4,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?
4,Just added tweetie to my new iPhone 
4,@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )
4,@nicolerichie: your picture is very sweet 
4,"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw "
4,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! "
4,Didn't place in the Peeps contest but thanks for voting anyways. 
4,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0
4,@LittleLumen walking over to put the deposit down tomorrow 
4,"is now followinq @DAChesterFrench , you shud do tha same "
4,@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 
4,Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 
4,@iJohn kitteh is sleepin on my crotch which proves she likes me more 
4,@DramaBeats agreed 
4,reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ
4,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 
4,happy to spend time with the family. 
4,finally going to bed!  so tired. Was gonna watch The Hills but didnt =/
4,so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 
4,@deon upload di indowebster dong banggggg 
4,@wisdomous you're welcome. glad you enjoyed it. 
4,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?
4,@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 
4,YAY! found a new cuddle buddy 
4,I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! 
4,Across the Universe. Sleep. Rehearsal tomorrow. 
4,"@annabellee dry sweet potato, huh? "
4,"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!"
4,having a long conversation with mom on phone 
4,@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? 
4,Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  
4,Going to go and read new moon for the 3rd time  I cant get enough of twilight series 
4,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!
4,I am bored 
4,@stevecla it is a wallpaper with Red Square I was asking for 
4,@r_keith_hill Thanks for your response. Ihad already find this answer 
4,@Pope_Mello Well yeah! I only noticed cuz i'm BB too. 
4,Just tryna get inspired thats all 
4,@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. 
4,"@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well "
