text,translation,in_toxic,toxicity,time,time_prediction,time_translation
im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,¡Me reuniré con uno de mis mejores amigos esta noche! ¡No puedo esperar! - ¡¡CHARLA DE CHICAS!!,False,0.023155907168984413,0.6027889251708984,0.010159015655517578,0.5926294326782227
@DaRealSunisaKim Thanks for the Twitter add Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ,@DaRealSunisaKim ¡Gracias por el anuncio de Twitter Sunisa! Te conocí una vez en un show de HIN aquí en el área de DC y eras un amor.,False,0.0007290894282050431,0.6088578701019287,0.008988618850708008,0.5998680591583252
Being sick can be really cheap when it hurts too much to eat real food  Plus your friends make you soup,Estar enfermo puede ser realmente barato cuando duele demasiado comer comida real Además tus amigos te hacen sopa,False,0.26901549100875854,0.6497654914855957,0.009064912796020508,0.640700101852417
@LovesBrooklyn2 he has that effect on everyone ,@LovesBrooklyn2 tiene ese efecto en todos,False,0.0012107660295441747,0.6331348419189453,0.008594751358032227,0.6245396137237549
@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,@ProductOfFear Puedes decirle que me eché a reír muy fuerte por eso. ¡Gracias por hacerme salir de mi mal humor!,False,0.08085771650075912,0.638150691986084,0.008862018585205078,0.6292881965637207
@r_keith_hill Thans for your response. Ihad already find this answer ,@r_keith_hill Gracias por su respuesta. ya habia encontrado esta respuesta,False,0.0016288675833493471,0.6206767559051514,0.008894681930541992,0.6117813587188721
@KeepinUpWKris I am so jealous hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! ,@KeepinUpWKris Estoy muy celoso ¡espero que la hayas pasado genial en Las Vegas! ¡¿Cómo te gustaron los ACM?! ¡¡ME ENCANTA TU ESPECTÁCULO!!,False,0.0017611091025173664,0.7666637897491455,0.015756845474243164,0.750906229019165
@tommcfly ah congrats mr fletcher for finally joining twitter ,@tommcfly ah felicidades señor fletcher por finalmente unirse a twitter,False,0.0014580597635358572,0.7011837959289551,0.018297195434570312,0.6828861236572266
@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,@e4VoIP YO RESPONDÍ El gato estúpido me está ayudando a escribir. perdona errores,False,0.609984815120697,0.6002545356750488,0.021065235137939453,0.5791888236999512
crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,día loco de la escuela. allí durante 10 horas seguidas. a punto de mirar las colinas. ¡@spencerpratt también me lo dijo! decir ah. ¡Feliz cumpleaños JB!,False,0.033746566623449326,0.6076071262359619,0.017077922821044922,0.5905282497406006
@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ,@naughtyhaughty ¿CÓMO ME OLVIDÉ DE DOS HOMBRES Y MEDIO?!?!? ME ENCANTA ESE PROGRAMA!!!,False,0.023686770349740982,0.6321260929107666,0.04036259651184082,0.5917627811431885
@nileyjileyluver Haha don't worry! You'll get the hang of it! ,@nileyjileyluver ¡Jaja no te preocupes! ¡Lo dominarás!,False,0.0957125872373581,0.6714894771575928,0.0371553897857666,0.6343331336975098
@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights already addicting ,@soundwav2010 ¡Al menos no seré el único que se sienta perdido! Esto puede causarme muchas noches más tarde de lo habitual ya adictivo.,False,0.00669475644826889,0.6322410106658936,0.04049086570739746,0.5917496681213379
@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?,@LutheranLucciol ¡Asegúrate de enviarme un mensaje privado si publicas un enlace a ese video! &lt;LOL&gt;Así que no me lo pierdo. ¿Mejor obtener permiso y bendición primero?,False,0.0008766634273342788,0.6385011672973633,0.041153669357299805,0.5973465442657471
Just added tweetie to my new iPhone ,Acabo de agregar tweetie a mi nuevo iPhone,False,0.0015402744757011533,0.6570944786071777,0.039179086685180664,0.6179149150848389
@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! ),@michellardi Realmente no lo sé. ¡Creo que es Globe! ¡sí! Espero mejorar para saber si puedo unirme! ),False,0.0037946810480207205,0.7148559093475342,0.04196429252624512,0.6728911399841309
@nicolerichie: your picture is very sweet ,@nicolerichie: tu foto es muy dulce,False,0.0010373311815783381,0.6202986240386963,0.03645443916320801,0.5838432312011719
Catching Up on Emails RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw ,Ponerse al día con los correos electrónicos RSS y BACN aleatorio. Entonces saldré temprano esta noche (11:30 p. m.) para cenar con @lauraw.,False,0.000678718090057373,0.6275246143341064,0.040140390396118164,0.587383508682251
Dancing around the room in Pjs jamming to my ipod. Getting dizzy. Well twitter you asked! ,Bailando por la habitación en pijama tocando mi ipod. Marearse. ¡Pues twitter preguntaste!,False,0.023721877485513687,0.6517713069915771,0.035817623138427734,0.6159529685974121
Didn't place in the Peeps contest but thanks for voting anyways. ,No se ubicó en el concurso Peeps pero gracias por votar de todos modos.,False,0.0007134162005968392,0.6983232498168945,0.04004836082458496,0.6582739353179932
Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0,Me voy a la cama así que buenas noches a todos y dulces sueños http://twitpic.com/2y2e0,False,0.0041252197697758675,0.63142991065979,0.042318105697631836,0.5891108512878418
@LittleLumen walking over to put the deposit down tomorrow ,@LittleLumen caminando para depositar el depósito mañana,False,0.0057097552344202995,0.6989374160766602,0.03503608703613281,0.66390061378479
is now followinq @DAChesterFrench  you shud do tha same ,ahora sigue a @DAChesterFrench deberías hacer lo mismo,False,0.3579600751399994,0.6240525245666504,0.03607821464538574,0.5879738330841064
@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? ,@LordPov ¿Se supone que debe agregar en la parte posterior de ese &quot;gorjeo desde un cubículo de baño en algún lugar&quot;?,False,0.030544519424438477,0.6480560302734375,0.04041147232055664,0.6076438426971436
Aw i'm holding my new puppy. Well He's not mine but He's a cutie. ,Oh estoy sosteniendo a mi nuevo cachorro. Bueno no es mío pero es lindo.,False,0.2717300355434418,1.63541841506958,0.034592628479003906,1.600825309753418
@iJohn kitteh is sleepin on my crotch which proves she likes me more ,@iJohn kitteh está durmiendo en mi entrepierna lo que prueba que yo le gusto más,True,0.8851116895675659,0.6390957832336426,0.04027962684631348,0.5988154411315918
@DramaBeats agreed ,@DramaBeats estuvo de acuerdo,False,0.0006820022244937718,0.6440973281860352,0.03792405128479004,0.6061728000640869
reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ,llegar a amritsar en una hora y (si encuentro un autobús) debería estar en la frontera de wagah a las 2 p.m. - http://bkite.com/06fuJ,False,0.0010492646833881736,0.7085931301116943,0.03756546974182129,0.6710271835327148
@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star ,@ALBinLA. ¡Estaba pensando en ti esta noche! Tienes que dejarme ser el primero en entrevistarte eres una súper estrella famosa,False,0.0018513561226427555,0.6684625148773193,0.03916335105895996,0.6292979717254639
happy to spend time with the family. ,feliz de pasar tiempo con la familia.,False,0.0006043878966011107,0.6383280754089355,0.0380406379699707,0.6002867221832275
finally going to bed!  so tired. Was gonna watch The Hills but didnt =/,por fin me voy a la cama! Tan cansado. Iba a ver The Hills pero no =/,False,0.007076194044202566,0.6362855434417725,0.03703570365905762,0.5992484092712402
so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! ,tan jodidamente cansada de que me duela la garganta... ooooohh... ¡acabo de tener un antojo loco de una piña colada/granizado de plátano!,False,0.2620697319507599,0.6871378421783447,0.03744316101074219,0.6496942043304443
@deon upload di indowebster dong banggggg ,@deon carga en indowebster dong banggggg,True,0.7202095985412598,0.7040529251098633,0.0389707088470459,0.665081262588501
@wisdomous you're welcome. glad you enjoyed it. ,@wisdomous de nada. me alegra que lo hayas disfrutado.,False,0.0005977383116260171,0.6356525421142578,0.03702425956726074,0.5986275672912598
@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?,@ hawaii808shellz jajaja!! ¡dios mío! ¡ambos nos reíamos a carcajadas! ¿POR QUÉ CÓMO RODAREMOS... ryt sheLdawg?,False,0.3770478069782257,0.6263325214385986,0.037821292877197266,0.588510274887085
@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up ,@SickWithThePen awww pookie me siento mejor. Rezaré por ti... y BOLSAré a la enfermera.,False,0.5204119086265564,0.6098814010620117,0.038260698318481445,0.571619987487793
YAY! found a new cuddle buddy ,¡HURRA! encontré un nuevo compañero de abrazos,False,0.022835006937384605,0.6218061447143555,0.03673052787780762,0.5850751399993896
I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! ,Creo que conocí a mi primer &quot;snob&quot; en Twitter esta noche. Demasiado. ¡La vida continua!,False,0.03488375246524811,0.6655008792877197,0.039057254791259766,0.6264433860778809
Across the Universe. Sleep. Rehearsal tomorrow. ,A través del universo. Dormir. Ensayo mañana.,False,0.0008323985966853797,0.6299748420715332,0.039087772369384766,0.5908865928649902
@annabellee dry sweet potato huh? ,@annabellee batata seca ¿eh?,False,0.01304091140627861,0.5999479293823242,0.03776907920837402,0.5621781349182129
@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise I cannot wait! Hope all is well on the Knight bus!  You are loved!,@JonathanRKnight ¡Hola Jon! ¡Genial saber de ti! ¡Nos vemos en el crucero no puedo esperar! ¡Espero que todo esté bien en el autobús Knight! ¡Eres amado!,False,0.0010697783436626196,0.6340048313140869,0.0392613410949707,0.5947427749633789
having a long conversation with mom on phone ,tener una larga conversación con mamá por teléfono,False,0.013889297842979431,0.6311945915222168,0.03667593002319336,0.5945179462432861
@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? ,@suitelifeofkell yayyy! jajaja. acabo de pedir herrr. ¿Qué dijo ella?,False,0.020642677322030067,0.607872486114502,0.0378727912902832,0.5699989795684814
